"Time","TWTR.Open","TWTR.High","TWTR.Low","TWTR.Close","TWTR.Volume","TWTR.WAP","TWTR.hasGaps","TWTR.Count"
"2015-07-14 09:30:00",35.78,35.94,35.77,35.86,1703,35.79,0,139
"2015-07-14 09:30:30",35.85,35.89,35.85,35.86,141,35.867,0,21
"2015-07-14 09:31:00",35.86,35.92,35.85,35.85,266,35.866,0,94
"2015-07-14 09:31:30",35.86,35.86,35.83,35.85,160,35.851,0,54
"2015-07-14 09:32:00",35.85,35.88,35.83,35.86,124,35.854,0,58
"2015-07-14 09:32:30",35.86,35.86,35.84,35.84,129,35.847,0,35
"2015-07-14 09:33:00",35.85,35.97,35.84,35.94,320,35.91,0,180
"2015-07-14 09:33:30",35.93,36.06,35.93,36.04,1033,35.997,0,325
"2015-07-14 09:34:00",36.03,36.1,36.03,36.1,372,36.062,0,160
"2015-07-14 09:34:30",36.1,36.25,36.09,36.23,1440,36.173,0,409
"2015-07-14 09:35:00",36.22,36.23,36.16,36.17,567,36.196,0,186
"2015-07-14 09:35:30",36.17,36.35,36.09,36.34,1357,36.251,0,467
"2015-07-14 09:36:00",36.33,36.4,36.33,36.39,1047,36.365,0,338
"2015-07-14 09:36:30",36.39,36.4,36.34,36.39,468,36.367,0,210
"2015-07-14 09:37:00",36.39,36.42,36.38,36.41,415,36.4,0,186
"2015-07-14 09:37:30",36.41,36.42,36.36,36.41,542,36.385,0,174
"2015-07-14 09:38:00",36.42,36.44,36.3,36.31,856,36.406,0,356
"2015-07-14 09:38:30",36.3,36.36,36.27,36.27,530,36.324,0,196
"2015-07-14 09:39:00",36.27,36.34,36.26,36.31,320,36.29,0,105
"2015-07-14 09:39:30",36.3,36.32,36.24,36.28,553,36.295,0,199
"2015-07-14 09:40:00",36.29,36.32,36.28,36.31,270,36.292,0,57
"2015-07-14 09:40:30",36.31,36.31,36.22,36.28,291,36.274,0,112
"2015-07-14 09:41:00",36.29,36.3,36.18,36.23,515,36.249,0,171
"2015-07-14 09:41:30",36.23,36.3,36.2,36.23,277,36.251,0,135
"2015-07-14 09:42:00",36.23,36.33,36.22,36.33,184,36.29,0,98
"2015-07-14 09:42:30",36.31,36.36,36.31,36.35,246,36.344,0,100
"2015-07-14 09:43:00",36.34,36.4,36.34,36.38,453,36.377,0,133
"2015-07-14 09:43:30",36.37,36.39,36.29,36.31,492,36.349,0,219
"2015-07-14 09:44:00",36.3,36.34,36.3,36.3,745,36.313,0,361
"2015-07-14 09:44:30",36.3,36.35,36.3,36.32,197,36.325,0,88
"2015-07-14 09:45:00",36.34,36.36,36.33,36.35,124,36.34,0,67
"2015-07-14 09:45:30",36.36,36.41,36.35,36.38,826,36.392,0,204
"2015-07-14 09:46:00",36.38,36.39,36.31,36.33,197,36.349,0,128
"2015-07-14 09:46:30",36.33,36.36,36.32,36.36,213,36.332,0,97
"2015-07-14 09:47:00",36.35,36.35,36.32,36.33,83,36.326,0,52
"2015-07-14 09:47:30",36.33,36.37,36.32,36.35,320,36.351,0,113
"2015-07-14 09:48:00",36.35,36.39,36.34,36.35,927,36.374,0,336
"2015-07-14 09:48:30",36.35,36.41,36.34,36.37,823,36.389,0,410
"2015-07-14 09:49:00",36.37,36.38,36.32,36.35,181,36.335,0,93
"2015-07-14 09:49:30",36.34,36.48,36.34,36.48,864,36.425,0,297
"2015-07-14 09:50:00",36.47,36.53,36.47,36.47,1539,36.497,0,447
"2015-07-14 09:50:30",36.49,36.49,36.46,36.48,315,36.471,0,112
"2015-07-14 09:51:00",36.48,36.55,36.48,36.55,607,36.516,0,233
"2015-07-14 09:51:30",36.55,36.59,36.53,36.58,524,36.565,0,199
"2015-07-14 09:52:00",36.57,36.58,36.54,36.54,509,36.557,0,158
"2015-07-14 09:52:30",36.54,36.54,36.45,36.45,613,36.509,0,245
